Player_ID,SHIRT_N,PLAYER_NAME,AGE,HEIGHT,FOOT,Country,SQUAD,SQUAD_RANKING,OPPONENT,OPPONENT RANKING,M_WEEKDAY,M_MONTH,M_SEASON,YEAR,COMPETITION_N,ROUND_N,VENUE_N,STARTER,STRIKER,Penalty,Penalty_shooter,MINUTES,GOALS
PT-7,7,Cristiano Ronaldo,39,187,1,pt,Portugal,7,Slovakia,45,6,10,3,2023,2,1,1,1,1,1,1,90,2
PT-7,7,Cristiano Ronaldo,39,187,1,pt,Portugal,7,Bosnia & Herz'na,69,2,10,3,2023,2,1,2,1,1,1,1,65,2
PT-7,7,Cristiano Ronaldo,39,187,1,pt,Portugal,7,Liechtenstein,203,5,11,3,2023,2,1,2,1,0,0,1,66,1
PT-7,7,Cristiano Ronaldo,39,187,1,pt,Portugal,7,Iceland,71,1,11,3,2023,2,1,1,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,39,187,1,pt,Portugal,6,Slovenia,57,3,3,1,2024,1,0,2,1,1,0,1,90,0
IT-19,19,Mateo Retegui,24,186,1,it,Italy,9, England,3,5,3,1,2023,2,1,1,1,1,0,0,90,1
IT-19,19,Mateo Retegui,24,186,1,it,Italy,9,Malta,172,1,3,1,2023,2,1,2,1,1,0,0,65,1
IT-19,19,Mateo Retegui,24,186,1,it,Italy,9,Netherlands,6,1,6,2,2023,2,4,3,1,1,0,0,84,0
IT-19,19,Mateo Retegui,24,186,1,it,Italy,9,Ukraine,22,3,9,3,2023,2,1,1,0,0,0,0,19,0
IT-19,19,Mateo Retegui,25,186,1,it,Italy,9,Venezuela,54,5,3,1,2024,1,0,3,1,1,0,0,86,2
IT-19,19,Mateo Retegui,25,186,1,it,Italy,9,Ecuador,31,1,3,1,2024,1,0,3,0,0,0,0,15,0
ES-19,19,Alvaro Morata,22,189,1,es,Spain,9,Belarus,99,7,11,3,2014,2,1,1,0,0,0,0,11,0
ES-19,19,Alvaro Morata,22,189,1,es,Spain,9,Germany,1,3,11,3,2014,1,0,1,1,1,0,0,90,0
ES-19,19,Alvaro Morata,22,189,1,es,Spain,3,Ukraine,29,6,3,1,2015,2,1,1,1,1,0,0,64,1
ES-19,19,Alvaro Morata,22,189,1,es,Spain,3,Netherlands,14,3,3,1,2015,1,0,2,0,0,0,0,29,0
